	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8
d1_0	0	0.0593234	0.0324199	0.0241895	0.0202825	0.0194198	0.0202363	0.0267153	0.0932576
d1_1	0.166936	0.00289834	0.00158777	0.00115739	0.000980082	0.00103981	0.00111854	0.00171083	0.00704027
d1_2	0.0811913	0.00267411	0.00143521	0.00104103	0.000848926	0.000837788	0.000861368	0.00121579	0.00572621
d1_3	0.0526358	0.00250722	0.00136882	0.000945395	0.000736649	0.000748334	0.000811923	0.00106803	0.00539902
d1_4	0.0381689	0.00251623	0.00136611	0.000975278	0.00072246	0.000721455	0.00072595	0.00100669	0.00539532
d1_5	0.0295628	0.00247912	0.00128072	0.000937384	0.000754363	0.000683095	0.000695907	0.000974712	0.00537122
d1_6	0.0240153	0.00241052	0.0012655	0.000909051	0.000717642	0.000668096	0.000662778	0.000930834	0.00550187
d1_7	0.0198106	0.00226872	0.00124173	0.00087114	0.000692181	0.00062507	0.000613967	0.000828347	0.005592
d1_8	0.0168852	0.00218346	0.00121629	0.000851243	0.000645337	0.000638586	0.000627315	0.00075929	0.00561763
d1_9	0.0145122	0.00212158	0.00119212	0.000834217	0.000634375	0.000572736	0.000591199	0.000681952	0.00595486
d1_10	0.0126808	0.00208055	0.00114366	0.000852898	0.000653485	0.000597883	0.000573912	0.000613715	0.00599364
d1_11	0.0118818	0.00221101	0.0011687	0.000892199	0.000651989	0.000604608	0.000559908	0.000611111	0.00634824
d1_12	0.0501915	0.0113727	0.00677877	0.00520064	0.00410649	0.00347341	0.00307837	0.00282879	0
