m r d s f D_dxy_mean D_dxy_quantile0.05 D_dxy_quantile0.25 D_dxy_quantile0.50 D_dxy_quantile0.75 D_dxy_quantile0.95 HD_dxy_mean HD_dxy_quantile0.05 HD_dxy_quantile0.25 HD_dxy_quantile0.50 HD_dxy_quantile0.75 HD_dxy_quantile0.95
0.000365 1.05e-06 0.01 0 0.1 1029.39514583333 906.009375 978.848958333333 1030.73958333333 1083.13541666667 1147.62395833334 1027.10041666667 892.346875 970.942708333333 1029.79166666667 1082.4375 1160.22395833333
0.000365 1.05e-06 0.5 0 0.1 1029.39514583333 906.009375 978.848958333333 1030.73958333333 1083.13541666667 1147.62395833334 1027.10041666667 892.346875 970.942708333333 1029.79166666667 1082.4375 1160.22395833333
0.000365 1.05e-06 0.01 0.0305 0.1 1048.36102083333 914.544791666667 995.817708333333 1049.64583333333 1102.84895833333 1180.09375 1060.1314375 924.244791666666 1006.41145833333 1064.69791666667 1113.0625 1188.81354166667
0.000365 1.05e-06 0.5 0.0305 0.1 1053.9656875 916.259375 999.416666666667 1057.64583333333 1109.83333333334 1173.21145833333 1061.676125 919.7375 1011.20833333333 1066.09375 1119.20833333333 1180.159375
0.000365 1.05e-06 0.01 0.0609 0.1 1068.1078125 921.602083333334 1008.89583333333 1073.34375 1131.02083333334 1201.06979166667 1098.17427083333 958.436458333334 1050.8125 1104.25 1154.15104166666 1217.08958333333
0.000365 1.05e-06 0.5 0.0609 0.1 1082.30358333333 952.1625 1032.38541666667 1085.54166666667 1137.09895833333 1204.109375 1096.53564583333 976.8 1051.77604166667 1100.54166666667 1146.19270833334 1211.76979166667
0.000365 1.05e-06 0.01 0.1218 0.1 1102.48316666667 944.054166666666 1043.56770833334 1112.04166666667 1170.5625 1236.05 1142.519 1025.88645833333 1102.33333333334 1144.88541666667 1188.21354166667 1249.41145833333
0.000365 1.05e-06 0.5 0.1218 0.1 1120.51402083333 1006.371875 1074.58333333333 1125.96875 1166.703125 1226.19895833333 1134.14460416667 1027.57916666666 1088.47395833334 1134.9375 1179.19270833333 1235.12395833333
0.000365 1.05e-06 0.01 0.2437 0.1 1145.39725 960.551041666667 1106.15625 1163.35416666667 1203.046875 1260.34791666667 1184.84883333333 1082.49166666666 1149.15104166667 1186.51041666667 1226.33333333333 1277.17916666667
0.000365 1.05e-06 0.5 0.2437 0.1 1158.37395833333 1052.80833333333 1118.75520833333 1160.27083333333 1199.375 1254.153125 1165.59452083333 1063.37291666667 1127.36458333333 1168.8125 1205.171875 1258.196875
0.000365 1.05e-06 0.01 0.3046 0.1 1158.3100625 993.451041666667 1119.38541666666 1170.96875 1213.64583333334 1266.39791666666 1193.5885 1100.61875 1157.63541666667 1196.72916666667 1232.03645833333 1280.7625
0.000365 1.05e-06 0.5 0.3046 0.1 1170.40514583333 1069.40833333333 1129.73958333333 1172.01041666667 1211.41666666666 1263.55104166667 1179.42383333333 1079.93541666666 1144.125 1183.22916666667 1216.515625 1270.03020833333
0.000365 1.05e-06 0.01 0.6092 0.1 1192.49372916667 1057.05416666667 1158.08854166667 1199.46875 1238.40104166666 1290.56354166667 1214.42075 1117.91458333334 1179.74479166667 1217.25 1248.39583333333 1304.68854166667
0.000365 1.05e-06 0.5 0.6092 0.1 1194.79452083333 1101.12708333334 1155.50520833333 1197.5625 1232.88020833334 1284.06458333333 1203.07460416667 1117.18333333333 1168.17708333333 1201.65625 1238.84375 1293.56041666666
0.000365 1.05e-06 0.01 2e-04 0.1 1029.12291666667 905.930208333333 977.3125 1030.84375 1083.203125 1149.32083333333 1027.07847916667 893.080208333333 970.546875 1029.51041666667 1081.34375 1159.18958333333
0.000365 1.05e-06 0.5 2e-04 0.1 1029.16447916667 907.215625 979.026041666667 1031.21875 1082.42708333333 1148.11145833333 1027.193875 893.839583333333 968.510416666667 1029.76041666667 1081.72916666667 1158.91875
0.000365 1.05e-06 0.01 4e-04 0.1 1029.201375 905.595833333334 977.630208333333 1031.21875 1081.27083333334 1152.16770833333 1026.95420833333 894.701041666667 970.265625 1030.36458333333 1081.52083333333 1159.15
0.000365 1.05e-06 0.5 4e-04 0.1 1028.94879166667 904.703125 977.770833333333 1030.40625 1082.53645833333 1150.23854166667 1026.8159375 894.303125 970.28125 1028.875 1081.671875 1158.884375
0.000365 1.05e-06 0.01 9e-04 0.1 1029.59364583333 906.532291666667 976.364583333333 1032.125 1082.984375 1149.98958333334 1026.93108333333 891.40625 970.104166666667 1030.95833333333 1081.57291666666 1157.71770833333
0.000365 1.05e-06 0.5 9e-04 0.1 1029.14575 905.9125 977.640625 1030.875 1081.66666666667 1148.52083333333 1026.7345625 891.18125 969.578125 1029.17708333333 1080.81770833333 1156.62708333333
0.000365 1.05e-06 0.01 0.003 0.1 1029.2145625 903.625 972.958333333333 1031.83333333333 1084.72395833334 1150.98958333333 1028.19941666667 894.332291666666 972.989583333333 1029.78125 1082.58333333333 1162.509375
0.000365 1.05e-06 0.5 0.003 0.1 1029.6798125 906.1 979.161458333333 1032.92708333333 1082.296875 1148.84583333333 1027.6850625 892.514583333334 972.135416666667 1032.41666666667 1081.66666666666 1157.55104166667
0.000365 1.05e-06 0.01 0.0042 0.1 1029.86889583333 904.403125 974.973958333333 1032.21875 1084.34375 1151.859375 1028.357875 894.269791666667 974.119791666667 1031.5 1080.41666666667 1160.93645833334
0.000365 1.05e-06 0.5 0.0042 0.1 1029.99177083333 899.947916666667 979.276041666667 1032.66666666667 1082.25 1151.58229166667 1028.32160416667 891.211458333334 976.489583333333 1030.98958333333 1083.07291666667 1155.07395833333
0.000365 1.05e-06 0.01 0.0058 0.1 1031.052375 903.830208333334 974.973958333333 1036.0625 1083.5 1155.83229166667 1029.65877083333 891.35625 977.286458333333 1033.33333333333 1081.57291666667 1159.1375
0.000365 1.05e-06 0.5 0.0058 0.1 1029.3275625 903.223958333334 976.666666666667 1030.84375 1082.171875 1148.89791666667 1030.37364583333 897.503125 976.203125 1033.61458333333 1085.40625 1155.04166666666
0.000365 1.05e-06 0.01 0.0081 0.1 1031.64808333333 908.097916666667 979.65625 1031.92708333333 1084.515625 1152.89791666666 1032.4896875 896.326041666666 977.380208333333 1038.07291666667 1088.15104166667 1163.70208333333
0.000365 1.05e-06 0.5 0.0081 0.1 1030.120625 902.725 976.90625 1032.66666666667 1083.22916666667 1151.56666666667 1033.05647916667 895.748958333333 976.536458333333 1037.08333333333 1088.08854166667 1166.76770833333
0.000365 1.05e-06 0.01 0.0113 0.1 1031.98958333333 904.080208333333 978.901041666667 1033.9375 1084.75 1151.59479166666 1034.49016666667 899.758333333334 979.765625 1039.8125 1091.90104166667 1167.34166666666
0.000365 1.05e-06 0.5 0.0113 0.1 1032.7760625 902.767708333333 980.333333333333 1034.34375 1086.55208333334 1155.79479166667 1035.72414583333 903.565625 981.958333333333 1040.67708333333 1090.93229166667 1164.63125
0.000365 1.05e-06 0.01 0.0217 0.1 1040.58902083333 912.15 990.286458333333 1041.77083333333 1096.55729166667 1166.07083333333 1048.46166666667 910.951041666667 993.135416666667 1052.48958333333 1101.98958333334 1181.796875
0.000365 1.05e-06 0.5 0.0217 0.1 1044.80575 915.85625 990.6875 1047.01041666667 1103.30729166666 1164.17604166666 1049.51102083333 923.133333333333 998.161458333333 1054 1100.58854166666 1169.06458333333
0.000365 1.05e-06 0.01 0.0302 0.1 1047.99602083333 915.710416666666 994.203125 1052.41666666667 1104.86979166667 1178.06458333334 1059.99570833333 919.725 1008.40104166667 1065.46875 1113.90104166667 1187.10729166667
0.000365 1.05e-06 0.5 0.0302 0.1 1053.10664583333 917.852083333333 1002.765625 1055.51041666667 1110.234375 1174.87916666667 1061.20372916667 922.603125 1008.78125 1065.76041666667 1115.82291666667 1182.20729166667
0.000365 1.05e-06 0.01 0.042 0.1 1058.46735416667 915.58125 1004.94791666667 1061.54166666667 1119.22916666667 1184.54791666667 1075.73572916667 939.197916666667 1025.90104166667 1079.19791666667 1131.06770833333 1198.234375
0.000365 1.05e-06 0.5 0.042 0.1 1064.20920833333 935.559375 1011.97395833333 1070.03125 1115.99479166666 1180.753125 1075.47620833333 939.54375 1024.47395833333 1076.13541666667 1129.63020833333 1202.45104166666
0.000365 1.05e-06 0.01 0.0583 0.1 1068.21689583333 925.479166666667 1015.04166666667 1073.48958333333 1128.81770833333 1198.603125 1095.65658333333 959.188541666667 1048.55729166667 1101.90625 1147.44791666666 1215.090625
0.000365 1.05e-06 0.5 0.0583 0.1 1080.98308333333 945.948958333333 1034.36979166666 1082.69791666667 1134.28125 1194.76354166667 1095.24170833333 974.7375 1049.89583333333 1095.69791666667 1145.875 1212.24375
0.000365 1.05e-06 0.01 0.081 0.1 1079.61760416667 934.753125 1021.32291666667 1087.09375 1140.88020833334 1215.46666666666 1116.01691666667 982.401041666666 1069.1875 1123.34375 1167.359375 1233.32291666667
0.000365 1.05e-06 0.5 0.081 0.1 1099.33383333333 975.045833333333 1054.55729166667 1102.17708333333 1150.65625 1211.14895833333 1112.00370833333 995.623958333333 1064.703125 1118.82291666667 1158.96875 1219
0.000365 1.05e-06 0.01 0.113 0.1 1096.57283333333 933.577083333333 1037.390625 1107.92708333333 1162.58854166666 1227.81666666667 1139.33295833333 1022.87291666667 1096.55729166667 1145.90625 1186.69270833334 1242.84479166666
0.000365 1.05e-06 0.5 0.113 0.1 1116.76345833333 1006.86875 1070.79166666667 1120.64583333333 1163.03125 1219.96770833333 1129.9115625 1021.81979166666 1088.53645833334 1129.01041666667 1174.11979166667 1240.75416666667
0.000365 1.05e-06 0.01 0.156 0.1 1115.69714583333 941.20625 1056.578125 1126.5625 1185.11458333333 1249.909375 1158.53827083333 1056.29375 1118.08333333333 1162.95833333333 1203.18229166667 1255.51145833333
0.000365 1.05e-06 0.5 0.156 0.1 1137.10854166667 1030.61979166667 1091.90104166667 1140.64583333333 1183.4375 1237.20833333333 1148.04870833333 1047.365625 1109.90104166667 1147.84375 1188.359375 1250.13020833334
0.000365 1.05e-06 0.01 0.217 0.1 1137.64064583333 963.394791666667 1093.96875 1153.80208333333 1195.6875 1254.32708333333 1177.00139583333 1079.37395833333 1140.66666666667 1179.5625 1216.21354166666 1267.47708333333
0.000365 1.05e-06 0.5 0.217 0.1 1152.33595833333 1043.43958333333 1112.203125 1158.03125 1195.26041666667 1247.9375 1163.20408333333 1060.615625 1124.296875 1165.35416666667 1203.89583333334 1254.825
0.000365 1.05e-06 0.01 0.302 0.1 1158.37441666667 997.060416666666 1118.0625 1169.10416666667 1213.04166666666 1268.46354166667 1192.60985416667 1097.24479166667 1153.42708333333 1194.97916666667 1230.65104166667 1280.92604166667
0.000365 1.05e-06 0.5 0.302 0.1 1169.55779166667 1074.30833333334 1129.52083333333 1172.0625 1209.125 1265.053125 1178.92083333333 1085.21875 1142.91666666667 1180.5625 1216.09375 1273.109375
