m r d s f D_pi1_mean D_pi1_quantile0.05 D_pi1_quantile0.25 D_pi1_quantile0.50 D_pi1_quantile0.75 D_pi1_quantile0.95 HD_pi1_mean HD_pi1_quantile0.05 HD_pi1_quantile0.25 HD_pi1_quantile0.50 HD_pi1_quantile0.75 HD_pi1_quantile0.95
0.000365 1.05e-06 0.01 0 0.1 297.702496532594 173.714285714285 228.178571428571 290.232142857143 358.955357142857 450.205357142857 291.878503075871 159.55 234.821428571429 285.678571428571 335.928571428571 445.128571428571
0.000365 1.05e-06 0.5 0 0.1 297.702496532594 173.714285714285 228.178571428571 290.232142857143 358.955357142857 450.205357142857 291.878503075871 159.55 234.821428571429 285.678571428571 335.928571428571 445.128571428571
0.000365 1.05e-06 0.01 0.0305 0.1 250.502136752137 146.589285714285 201.410714285714 233.642857142857 289.357142857143 398.071428571428 241.237709137709 138.607142857143 187.357142857143 235.25 283.982142857142 365.996428571429
0.000365 1.05e-06 0.5 0.0305 0.1 261.753016409266 155.221428571428 202.0625 249.339285714285 308.035714285714 407.553571428571 252.899264851977 145.732142857143 198.464285714286 243.392857142857 295.357142857143 391.814285714285
0.000365 1.05e-06 0.01 0.0609 0.1 222.834435626102 134.366071428572 175.142857142857 209.696428571428 255.455357142857 357.794642857143 218.524547803618 132.344642857143 168.633928571429 205.321428571428 252.464285714285 346.742857142857
0.000365 1.05e-06 0.5 0.0609 0.1 242.654847243557 146.921428571428 188.428571428571 225.75 283.75 387.735714285715 232.521899529042 139.907142857143 180.035714285714 223.25 269.982142857143 364.644642857143
0.000365 1.05e-06 0.01 0.1218 0.1 189.433879529195 119.435714285714 147.464285714285 177.785714285714 214.821428571428 295.342857142858 195.634970707526 119.482142857143 150.696428571428 182.607142857143 222.25 314.446428571429
0.000365 1.05e-06 0.5 0.1218 0.1 217.460663056206 129.642857142857 168.803571428572 205.089285714285 253.339285714286 341.017857142857 210.787588294652 125.321428571428 162.839285714286 195.357142857143 243.375 353.535714285714
0.000365 1.05e-06 0.01 0.2437 0.1 164.040350716122 110.803571428572 131.758928571428 152.75 182.598214285714 255.271428571428 164.942986881937 109.5 131.678571428572 154.928571428571 183.482142857143 264.857142857143
0.000365 1.05e-06 0.5 0.2437 0.1 186.894035714286 116.530357142857 147.473214285715 173.946428571428 212.580357142858 293.458928571428 180.803463855422 115.089285714286 141.607142857143 169.607142857143 202.883928571429 283.901785714285
0.000365 1.05e-06 0.01 0.3046 0.1 158.04182444062 109.621428571428 128.642857142857 146.482142857143 177.589285714285 239.014285714286 156.975186460126 108.5625 127.0625 146.142857142857 173.973214285715 241.5
0.000365 1.05e-06 0.5 0.3046 0.1 179.609254222731 115.280357142857 141.223214285715 165.892857142857 206.098214285714 285.291071428572 172.324082042456 112.580357142857 136.035714285715 160.160714285715 193.776785714286 272.75
0.000365 1.05e-06 0.01 0.6092 0.1 139.906361244389 101.582142857143 118.321428571429 133.071428571429 150.571428571428 196.307142857143 139.221349684452 101.866071428571 117.392857142857 130.285714285715 150.535714285714 196.607142857143
0.000365 1.05e-06 0.5 0.6092 0.1 155.659064830752 105.303571428572 127.1875 146.482142857143 172.758928571428 229.116071428572 150.416750503018 105.214285714286 122.696428571428 139.767857142858 164.758928571429 233.442857142857
0.000365 1.05e-06 0.01 2e-04 0.1 296.805210489993 173.571428571428 230.053571428572 287.678571428571 358.267857142857 454.932142857143 293.178919860627 160.778571428571 231.178571428571 288.821428571429 336.107142857143 444.314285714286
0.000365 1.05e-06 0.5 2e-04 0.1 297.640429958391 173.169642857143 228.75 289.875 359.098214285714 449.544642857143 292.9152696793 159.973214285714 229.964285714285 286.892857142858 337.241071428571 448.205357142857
0.000365 1.05e-06 0.01 4e-04 0.1 296.531512605042 174.494642857142 228.464285714286 289.160714285715 355.366071428572 450.396428571428 291.428926794598 162.607142857143 228.964285714286 288.5 336.607142857143 443.107142857143
0.000365 1.05e-06 0.5 4e-04 0.1 296.195544554455 172.283928571429 224.098214285715 289.071428571428 356.035714285714 453.653571428571 293.35251665433 161.607142857143 231.607142857143 286.785714285714 339.607142857143 449.45
0.000365 1.05e-06 0.01 9e-04 0.1 295.199715707178 173.142857142857 225.642857142857 281.785714285714 358 449.607142857143 284.333891369048 162.233928571429 227.008928571428 276.232142857143 328.723214285715 436.517857142857
0.000365 1.05e-06 0.5 9e-04 0.1 298.114248317128 172.946428571428 228.178571428572 292.25 353.732142857143 457.428571428571 284.745275888133 158.442857142857 231.142857142857 275.892857142857 328.75 435.742857142857
0.000365 1.05e-06 0.01 0.003 0.1 295.810113154173 168.735714285714 232.517857142857 291.446428571428 347.330357142857 437.728571428571 285.348122238586 160.714285714286 223.205357142857 274.214285714285 340.133928571428 434.898214285714
0.000365 1.05e-06 0.5 0.003 0.1 292.867595818815 188.403571428571 232.866071428571 277.482142857143 347.669642857143 459.010714285715 288.764245585875 159.973214285714 228.544642857143 281.875 340.883928571428 425.998214285714
0.000365 1.05e-06 0.01 0.0042 0.1 290.26459478022 162.794642857143 225.276785714286 281.857142857143 341.142857142857 447.303571428571 281.936211798152 156.142857142857 222.714285714286 274.142857142857 331.178571428571 435.75
0.000365 1.05e-06 0.5 0.0042 0.1 299.847199675325 188.785714285714 240.017857142857 290.5 347.616071428572 449.625 283.318346627991 156.457142857143 223.642857142857 273.892857142857 331.678571428571 432.014285714286
0.000365 1.05e-06 0.01 0.0058 0.1 291.06855707107 172.885714285715 227.946428571428 282.142857142857 337.428571428572 449.503571428571 277.590453938585 153.053571428571 210.75 264.732142857143 329.5 433.951785714286
0.000365 1.05e-06 0.5 0.0058 0.1 291.602540500736 171.521428571429 234.767857142857 280.071428571428 338.4375 432.978571428571 277.590443121693 155.258928571428 214.0625 266.928571428572 331.071428571428 425.723214285715
