m r d s f D_pi2_mean D_pi2_quantile0.05 D_pi2_quantile0.25 D_pi2_quantile0.50 D_pi2_quantile0.75 D_pi2_quantile0.95 HD_pi2_mean HD_pi2_quantile0.05 HD_pi2_quantile0.25 HD_pi2_quantile0.50 HD_pi2_quantile0.75 HD_pi2_quantile0.95
0.000365 1.05e-06 0.01 0 0.1 467.736136363636 414.273484848485 445.886363636363 467.522727272727 489.537878787879 521.278787878788 469.536242424242 414.010606060607 446.628787878788 468.55303030303 491.488636363636 526.7
0.000365 1.05e-06 0.5 0 0.1 467.736136363636 414.273484848485 445.886363636363 467.522727272727 489.537878787879 521.278787878788 469.536242424242 414.010606060607 446.628787878788 468.55303030303 491.488636363636 526.7
0.000365 1.05e-06 0.01 0.0305 0.1 469.400303030303 415.35303030303 447.147727272727 469.840909090909 491.17803030303 521.037878787879 468.425227272727 416.302272727273 445.344696969697 467.742424242424 488.056818181819 524.563636363636
0.000365 1.05e-06 0.5 0.0305 0.1 466.237757575758 413.609090909091 443.613636363636 467.287878787879 487.852272727273 516.512121212121 466.946681818182 412.521212121213 445.083333333333 467.795454545455 488.223484848485 519.259848484849
0.000365 1.05e-06 0.01 0.0609 0.1 468.281227272727 415.256060606061 445.35606060606 466.583333333333 489.901515151515 522.168181818182 467.553318181818 413.390909090909 445.48106060606 467.234848484848 489.060606060607 520.525757575758
0.000365 1.05e-06 0.5 0.0609 0.1 465.755424242424 413.643939393939 445.329545454545 463.560606060607 486.628787878788 523.7 465.959454545455 413.702272727273 445.628787878788 464.893939393939 486.897727272727 519.617424242425
0.000365 1.05e-06 0.01 0.1218 0.1 468.237196969697 415.935606060606 446.284090909091 467.80303030303 489.325757575758 522.346212121212 464.241015151515 411.689393939394 441.352272727273 464.598484848485 484.314393939394 516.862121212121
0.000365 1.05e-06 0.5 0.1218 0.1 463.828606060606 413.715151515152 441.886363636363 463.515151515152 485.140151515152 519.417424242424 462.814803030303 412.257575757576 442.234848484848 462.037878787879 483.268939393939 515.865909090909
0.000365 1.05e-06 0.01 0.2437 0.1 467.688015151515 413.407575757576 443.492424242425 466.560606060606 490.890151515151 523.715151515152 462.355166666667 409.728787878788 440.223484848485 461.810606060606 482.598484848485 514.221212121212
0.000365 1.05e-06 0.5 0.2437 0.1 462.50246969697 410.593181818182 440.935606060606 462.651515151516 483.280303030303 517.567424242424 460.880303030303 406.875 438.882575757575 460.810606060606 481.757575757576 513.290909090909
0.000365 1.05e-06 0.01 0.3046 0.1 466.677590909091 417.333333333333 444.431818181818 466.05303030303 487.92803030303 521.246969696969 462.013833333333 410.659848484849 441.424242424242 461.234848484848 482.965909090909 511.381060606061
0.000365 1.05e-06 0.5 0.3046 0.1 462.298181818182 411.52196969697 440.897727272727 462.44696969697 482.651515151515 512.625757575757 460.390166666667 410.376515151515 438.48106060606 459.628787878788 481.912878787879 512.02196969697
0.000365 1.05e-06 0.01 0.6092 0.1 465.029651515151 409.842424242424 443.659090909091 464.318181818182 487.310606060606 515.778787878788 461.599878787879 411.004545454545 441.30303030303 460.636363636364 482.284090909091 514.599242424242
0.000365 1.05e-06 0.5 0.6092 0.1 459.848439393939 411.069696969697 439.753787878788 459.727272727273 479.246212121212 510.031060606061 459.353984848485 407.270454545454 438.632575757576 458.545454545455 481.09090909091 512.17196969697
0.000365 1.05e-06 0.01 2e-04 0.1 467.997742424242 415.79393939394 445.162878787879 467.340909090909 489.193181818182 520.524242424242 469.564424242424 413.900757575758 446.795454545455 468.878787878788 491.401515151515 527.927272727273
0.000365 1.05e-06 0.5 2e-04 0.1 467.838954545455 415.282575757576 445.204545454545 467.44696969697 489.5 520.927272727273 469.478803030303 414.331818181818 446.628787878788 468.871212121212 491.068181818182 526.785606060606
0.000365 1.05e-06 0.01 4e-04 0.1 467.933954545455 416.451515151515 444.602272727273 467.416666666667 489.481060606061 521.424242424242 469.446954545455 414.145454545455 447.068181818182 468.954545454545 490.799242424243 526.235606060606
0.000365 1.05e-06 0.5 4e-04 0.1 467.990015151515 414.752272727273 445.643939393939 468.007575757576 489.204545454546 521.042424242424 469.338045454545 414.83106060606 447.037878787879 468.893939393939 490.348484848485 527.591666666667
0.000365 1.05e-06 0.01 9e-04 0.1 468.031090909091 417.858333333333 444.988636363637 467.280303030303 489.295454545455 520.999242424242 470.096954545455 415.312121212121 447.340909090909 469.598484848485 492.011363636363 528.071212121212
0.000365 1.05e-06 0.5 9e-04 0.1 468.317984848485 415.453787878787 445.386363636363 468.090909090909 489.30303030303 522.1 469.578257575758 414.484848484848 447.337121212121 469.613636363636 491.022727272727 526.745454545454
0.000365 1.05e-06 0.01 0.003 0.1 467.893772727273 415.852272727273 445.083333333333 467.356060606061 490.140151515152 522.429545454545 469.816424242424 414.740151515151 448.185606060606 469.454545454545 490.496212121212 524.762121212121
0.000365 1.05e-06 0.5 0.003 0.1 468.564818181818 417.068181818182 445.799242424242 468.575757575758 490.075757575758 522.684848484848 469.542363636364 414.952272727272 446.920454545454 468.787878787879 490.628787878788 526.678030303031
0.000365 1.05e-06 0.01 0.0042 0.1 467.844075757576 416.454545454545 444.662878787879 466.893939393939 489.80303030303 523.014393939394 470.028378787879 415.737878787879 447.465909090909 469.568181818182 491.659090909091 527.328787878788
0.000365 1.05e-06 0.5 0.0042 0.1 468.092257575758 416.712878787879 444.318181818182 467.893939393939 490.087121212121 522.125757575757 470.114606060606 416.06893939394 448.378787878788 468.969696969697 490.587121212121 526.590151515152
0.000365 1.05e-06 0.01 0.0058 0.1 468.215681818182 416.573484848485 445.212121212121 468.075757575758 490.545454545455 521.523484848485 470.351227272727 417.346969696969 447.496212121212 469.295454545455 493.125 527.522727272728
0.000365 1.05e-06 0.5 0.0058 0.1 467.665121212121 417.181818181818 443.556818181818 467.522727272727 490.496212121212 518.801515151515 469.683212121212 416.858333333333 447.560606060606 469.30303030303 489.306818181818 528.20303030303
0.000365 1.05e-06 0.01 0.0081 0.1 468.28903030303 417.175 445.575757575758 467.492424242424 489.875 523.459848484849 471.193515151515 416.603787878788 448.295454545454 469.583333333333 492.625 525.662121212122
0.000365 1.05e-06 0.5 0.0081 0.1 468.196742424242 417.330303030303 445.416666666666 467.280303030303 490.530303030303 523.991666666666 470.041363636364 417.275757575758 447.507575757576 470.795454545455 492.545454545454 528.014393939394
0.000365 1.05e-06 0.01 0.0113 0.1 467.524696969697 415.120454545455 443.022727272728 466.287878787879 491.291666666667 522.540909090909 469.713212121212 415.192424242424 448.344696969697 470.083333333333 490.912878787879 526.168181818182
0.000365 1.05e-06 0.5 0.0113 0.1 467.506545454545 415.709848484848 444.227272727273 466.55303030303 490.583333333334 522.516666666667 468.680424242424 417.324242424242 447.484848484849 468.560606060606 489.984848484848 525.459848484848
0.000365 1.05e-06 0.01 0.0217 0.1 468.540712121212 417.390909090909 446.477272727273 467.295454545455 490.590909090909 521.721212121212 469.203621212121 414.715909090909 446.397727272727 469.318181818182 491.30303030303 526.046212121212
0.000365 1.05e-06 0.5 0.0217 0.1 467.042575757576 415.527272727273 444.742424242424 466.772727272727 490.575757575758 519.45303030303 469.227939393939 414.705303030303 445.992424242424 469.242424242424 490.511363636364 526.29696969697
0.000365 1.05e-06 0.01 0.0302 0.1 468.489878787879 416.357575757575 445.458333333333 468.333333333333 490.166666666667 520.290151515152 468.744212121212 417.057575757576 445.784090909091 468.568181818182 489.397727272727 522.691666666667
0.000365 1.05e-06 0.5 0.0302 0.1 466.256257575758 413.090151515151 443.981060606061 467.484848484848 489.215909090909 517.926515151515 467.129060606061 413.250757575758 444.939393939394 468.431818181818 488.553030303031 519.35303030303
0.000365 1.05e-06 0.01 0.042 0.1 468.044606060606 414.325757575758 445.67803030303 466.30303030303 490.25 525.156060606061 467.461424242424 416.559848484848 445.257575757576 468.44696969697 487.912878787879 520.156818181818
0.000365 1.05e-06 0.5 0.042 0.1 466.206878787879 409.781060606061 444.848484848484 467.560606060606 488.382575757576 517.14696969697 467.031515151515 416.651515151515 444.276515151515 466.530303030304 486.844696969697 519.682575757576
0.000365 1.05e-06 0.01 0.0583 0.1 468.435636363636 414.767424242424 446.219696969697 468.159090909091 489.897727272727 525.279545454545 466.885060606061 413.149242424242 446.106060606061 466.484848484848 486.473484848484 518.500757575757
0.000365 1.05e-06 0.5 0.0583 0.1 466.029636363636 410.424242424242 445.875 464.787878787879 488.034090909091 519.570454545455 465.856621212121 412.829545454545 445.030303030303 466.348484848484 485.382575757575 520.554545454546
0.000365 1.05e-06 0.01 0.081 0.1 467.423787878788 412.82803030303 445.439393939393 466.757575757576 490.931818181818 520.187878787879 466.169757575758 414.412878787879 444.208333333333 467.045454545455 487.549242424242 518.615151515152
0.000365 1.05e-06 0.5 0.081 0.1 464.882363636364 414.912121212121 442.681818181818 463.318181818182 487.155303030303 517.077272727273 465.199681818182 410.430303030303 443.393939393939 464.840909090909 487.041666666667 519.447727272727
0.000365 1.05e-06 0.01 0.113 0.1 466.667015151515 419.415909090909 444.102272727273 465.151515151516 487.25 523.418181818181 464.728454545455 413.481818181818 442.893939393939 464.416666666667 485.715909090909 516.125
0.000365 1.05e-06 0.5 0.113 0.1 463.809363636364 414.459090909091 441.049242424242 462.69696969697 486.469696969697 520.93106060606 463.636045454545 412.907575757576 441.647727272727 462.371212121212 484.07196969697 516.627272727273
0.000365 1.05e-06 0.01 0.156 0.1 467.916954545455 415.106060606061 446.246212121212 466.977272727273 490.962121212121 521.397727272727 464.633060606061 414.302272727273 444.17803030303 463.863636363636 484.954545454545 515.601515151515
0.000365 1.05e-06 0.5 0.156 0.1 463.071606060606 411.205303030303 441.151515151515 462.022727272727 484.719696969697 516.053787878788 463.134863636364 415.152272727273 440.064393939394 462.393939393939 484.32196969697 511.74696969697
0.000365 1.05e-06 0.01 0.217 0.1 467.024560606061 415.963636363636 444.443181818181 465.401515151515 489.215909090909 521.494696969697 462.794045454545 408.901515151515 441.238636363636 462.5 483.776515151515 514.303787878788
0.000365 1.05e-06 0.5 0.217 0.1 462.094621212121 412.042424242425 441.503787878788 461.174242424242 483.943181818181 516.391666666667 460.974893939394 408.726515151515 439.011363636364 460.621212121212 482.155303030303 513.614393939394
0.000365 1.05e-06 0.01 0.302 0.1 467.136787878788 415.799242424242 444.42803030303 465.810606060606 487.924242424242 521.667424242424 461.961712121212 409.474242424242 442.143939393939 461.833333333333 483.193181818182 510.806818181818
0.000365 1.05e-06 0.5 0.302 0.1 462.587681818182 411.786363636364 441.662878787879 462.189393939394 481.246212121212 515.772727272727 460.206772727273 410.228787878788 438.287878787878 459.583333333333 481.742424242424 512.637121212122
