chr h m sr s r f t window pi_pop1 pi_pop2 dxy fst fst0.025 fst0.05 fst0.10 fst0.25 fst0.5 fst0.75 fst0.90 fst0.95 fst0.975
A 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 1e+05 2.47435714285714 4.09560606060606 9.14479166666667 0.590845272511221 0.158770901590199 0.215677059018463 0.271368710492578 0.431144135506552 0.638484848484849 0.753206376561827 0.845128527880021 0.882618639907377 0.914562651981716
A 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 50000 1.30957142857143 2.18042424242424 4.94583333333333 0.572199939070252 0.0779106187929717 0.134915272738763 0.216159226267736 0.391281512605042 0.600438387427034 0.776692469071143 0.872099227569816 0.915521882604963 0.948716993548094
A 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 25000 0.812107142857143 1.31659090909091 3.01970833333333 0.546079652041816 0 0.0493801652892562 0.136363636363636 0.324494063855766 0.574916672826791 0.781349876295147 0.891667345471545 0.938833845794924 0.969750603378922
A 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 10000 0.549035714285714 0.896939393939394 2.121 0.525877387491782 0 0 0.051948051948052 0.285714285714286 0.545854145854146 0.788014069264069 0.918918918918919 0.96 1
X 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 1e+05 2.45889285714286 4.11495454545455 8.92129166666667 0.585218626265082 0.151654785538626 0.217263401643785 0.285556681904252 0.439897623890739 0.609060010502318 0.746735269916515 0.843620904589876 0.887622648069862 0.910820830709772
X 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 50000 1.33675 2.22416666666667 4.81514583333333 0.564530015111637 0.0990516400595452 0.142166478494793 0.224034183757242 0.383518862090291 0.585829616923957 0.756102188910235 0.864601969254797 0.918387084040579 0.941672807663965
X 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 25000 0.798857142857143 1.35715151515151 2.97775 0.538547069250409 0 0.0609636740071523 0.136363636363636 0.324970484061393 0.565184815184815 0.769267574530732 0.886937452791111 0.927597821842426 0.960060606060606
X 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 10000 0.524642857142857 0.947893939393939 2.05858333333333 0.50758699055894 0 0 0.0606060606060606 0.25974025974026 0.531348973607038 0.765088966400283 0.899676329862088 0.944232784803348 0.986643835616438
A 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 1e+05 2.47435714285714 4.09560606060606 9.14479166666667 0.590845272511221 0.158770901590199 0.215677059018463 0.271368710492578 0.431144135506552 0.638484848484849 0.753206376561827 0.845128527880021 0.882618639907377 0.914562651981716
A 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 50000 1.30957142857143 2.18042424242424 4.94583333333333 0.572199939070252 0.0779106187929717 0.134915272738763 0.216159226267736 0.391281512605042 0.600438387427034 0.776692469071143 0.872099227569816 0.915521882604963 0.948716993548094
