chr h m sr s r f t window pi_pop1 pi_pop2 dxy fst fst0.025 fst0.05 fst0.10 fst0.25 fst0.5 fst0.75 fst0.90 fst0.95 fst0.975
A 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 1e+05 2.97312760055478 4.76117975875257 10.9600525889968 0.614161337663088 0.193230876682995 0.2558231874618 0.326289074806595 0.465842400842401 0.656508988907306 0.758624506851827 0.860529718740068 0.88922139030995 0.913858669217121
A 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 50000 1.64667128987517 2.60120623712857 6.24888754045307 0.612804502366405 0.111064782674952 0.158331698417675 0.260238547859907 0.452521469819522 0.664634772342282 0.787448129789405 0.886238504558134 0.926278890600924 0.944560764822203
A 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 25000 1.13245492371706 1.68932038834951 4.25091019417476 0.611298828804869 0.0359560652113844 0.157298430735931 0.227942270495462 0.420811511720603 0.667832167832168 0.818897204490425 0.899604743083004 0.938647380563548 0.952380952380952
A 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 10000 0.855755894590846 1.23065607531627 3.29227346278317 0.612918337579503 0.0292846916862665 0.11127210555402 0.216382995886101 0.426952676952677 0.677628787142062 0.834884404388715 0.916277641277641 0.952429149797571 0.971003134796238
X 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 1e+05 2.54938482570062 4.59656372335798 10.3436004784689 0.606476975729523 0.207065235234249 0.243105154839409 0.32352257266543 0.429486620761789 0.633163937511764 0.778128413642432 0.859466464357409 0.888522631713293 0.922277068770575
X 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 50000 1.50717703349282 2.68218065825721 6.11283891547049 0.600932240278927 0.122054164159427 0.199437229437229 0.263570155334861 0.408643815201192 0.644774273345702 0.805003819709702 0.884786608530983 0.922248554365343 0.953482880755608
X 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 25000 0.991797676008202 1.83101348412353 4.16935805422648 0.589850810902016 0.0625483536580227 0.129056206950944 0.221414141414141 0.405388000429323 0.619718309859155 0.808163265306122 0.90320999754962 0.946456748707388 0.976608101868727
X 0.01 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 10000 0.71907040328093 1.35783674061186 3.21899920255183 0.594123278253251 0.044022644022644 0.128753489501153 0.235899419729207 0.373394173394173 0.636363636363636 0.821830343569474 0.911063011063011 0.959471074380165 0.98235904531304
A 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 1e+05 2.97312760055478 4.76117975875257 10.9600525889968 0.614161337663088 0.193230876682995 0.2558231874618 0.326289074806595 0.465842400842401 0.656508988907306 0.758624506851827 0.860529718740068 0.88922139030995 0.913858669217121
A 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 50000 1.64667128987517 2.60120623712857 6.24888754045307 0.612804502366405 0.111064782674952 0.158331698417675 0.260238547859907 0.452521469819522 0.664634772342282 0.787448129789405 0.886238504558134 0.926278890600924 0.944560764822203
A 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 25000 1.13245492371706 1.68932038834951 4.25091019417476 0.611298828804869 0.0359560652113844 0.157298430735931 0.227942270495462 0.420811511720603 0.667832167832168 0.818897204490425 0.899604743083004 0.938647380563548 0.952380952380952
A 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 10000 0.855755894590846 1.23065607531627 3.29227346278317 0.612918337579503 0.0292846916862665 0.11127210555402 0.216382995886101 0.426952676952677 0.677628787142062 0.834884404388715 0.916277641277641 0.952429149797571 0.971003134796238
X 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 1e+05 2.54938482570062 4.59656372335798 10.3436004784689 0.606476975729523 0.207065235234249 0.243105154839409 0.32352257266543 0.429486620761789 0.633163937511764 0.778128413642432 0.859466464357409 0.888522631713293 0.922277068770575
X 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 50000 1.50717703349282 2.68218065825721 6.11283891547049 0.600932240278927 0.122054164159427 0.199437229437229 0.263570155334861 0.408643815201192 0.644774273345702 0.805003819709702 0.884786608530983 0.922248554365343 0.953482880755608
X 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 25000 0.991797676008202 1.83101348412353 4.16935805422648 0.589850810902016 0.0625483536580227 0.129056206950944 0.221414141414141 0.405388000429323 0.619718309859155 0.808163265306122 0.90320999754962 0.946456748707388 0.976608101868727
X 0.5 3.65e-4 0.3 0.000 1.05e-6 0.1 1549 10000 0.71907040328093 1.35783674061186 3.21899920255183 0.594123278253251 0.044022644022644 0.128753489501153 0.235899419729207 0.373394173394173 0.636363636363636 0.821830343569474 0.911063011063011 0.959471074380165 0.98235904531304
A 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 1e+05 1.30708180708181 3.70586203919537 11.965871320038 0.777002922473973 0.578275020438743 0.594914818571188 0.630695987304466 0.700693374422188 0.798494499131442 0.850870175121046 0.899861559760037 0.919099098047058 0.929921832553412
A 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 50000 0.704517704517704 1.94375377708711 7.23996913580247 0.805366301925032 0.578524104181176 0.609511476178143 0.667840633942329 0.733857989836251 0.815047021943574 0.885730542928425 0.929028158385957 0.946524064171123 0.966043956043956
A 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 25000 0.443223443223443 1.11279461279461 5.12974833808167 0.840852359977166 0.607382563414976 0.669428983714698 0.696969696969697 0.770730385947777 0.859861069163395 0.920384339546016 0.96 0.976748366992269 1
A 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 10000 0.295177045177045 0.756280756280756 4.05484330484331 0.863404689287465 0.626635982436573 0.695468361425808 0.738519212746017 0.799344664552038 0.877005347593583 0.945452308518253 0.986301369863014 1 1
X 0.01 3.65e-4 0.3 0.0305 1.05e-6 0.1 1549 1e+05 1.15765765765766 3.9044226044226 12.0921171171171 0.778339103536429 0.55840043381376 0.601079486793772 0.646107331821618 0.714616292798111 0.787612387612388 0.854980954005344 0.905024373188082 0.927061603306512 0.946452753161406
