m rec h chrm s f pfix mtfix pkeep fstall fstcb meangen_p1all meangen_p2all meangen_p1cb meangen_2cb
0 2.5e-07 0.01 D 0 0.001 0 NA 0 0.001 NA 0.000176829985135 0.000857906661195 NA NA
0 2.5e-07 0.01 H 0 0.001 1 NA 0.005 0.00355118647161269 NA 0.00233044671292 0.00055116665258 0.416723342147 1.33333e-06
0 2.5e-07 0.01 D 0 0.01 0 NA 0.017 0.0155410977198215 0.281079510302845 0.00829698670594 0.010977896673975 0.271183534479412 0.00747784225617647
0 2.5e-07 0.01 H 0 0.01 2 NA 0.021 0.0170429359581763 0.38701302924591 0.00996823329449 0.00955336666069 0.341211588359524 0.0022849209202381
0 2.5e-07 0.01 D 0 0.1 37 1553.78378378378 0.19 0.15835150092354 0.473386334880896 0.105094217183825 0.098754893934895 0.426946913437895 0.0925075447391053
0 2.5e-07 0.01 H 0 0.1 25 1579.6 0.172 0.151858990023776 0.441254011621098 0.101959676555555 0.113590944102415 0.419660930789535 0.114709768273983
0 2.5e-07 0.01 D 0 0.5 94 1408.51063829787 0.723 0.394312062025205 0.364905654557557 0.511357844068065 0.48883487966836 0.645409705916923 0.481281493778264
0 2.5e-07 0.01 H 0 0.5 86 1411.97674418605 0.682 0.395452940057705 0.368945046042738 0.49674729667137 0.49688686650611 0.651099643530696 0.495771661506298
0 2.5e-07 0.5 D 0 0.001 0 NA 0 0.001 NA 0.000176829985135 0.000857906661195 NA NA
0 2.5e-07 0.5 H 0 0.001 1 NA 0.005 0.00355118647161269 NA 0.00233044671292 0.00055116665258 0.416723342147 1.33333e-06
0 2.5e-07 0.5 D 0 0.01 0 NA 0.017 0.0155410977198215 0.281079510302845 0.00829698670594 0.010977896673975 0.271183534479412 0.00747784225617647
0 2.5e-07 0.5 H 0 0.01 2 NA 0.021 0.0170429359581763 0.38701302924591 0.00996823329449 0.00955336666069 0.341211588359524 0.0022849209202381
0 2.5e-07 0.5 D 0 0.1 37 1553.78378378378 0.19 0.15835150092354 0.473386334880896 0.105094217183825 0.098754893934895 0.0946840714507105 0.115629649725053
0 2.5e-07 0.5 H 0 0.1 25 1579.6 0.172 0.151858990023776 0.441254011621098 0.101959676555555 0.113590944102415 0.108616027079535 0.115315388248052
0 2.5e-07 0.5 D 0 0.5 94 1408.51063829787 0.723 0.394312062025205 0.364905654557557 0.511357844068065 0.48883487966836 0.512956981049723 0.480408731935256
0 2.5e-07 0.5 H 0 0.5 86 1411.97674418605 0.682 0.395452940057705 0.368945046042738 0.49674729667137 0.49688686650611 0.491298963962529 0.506137795505271
