m r d s f D_dxy_mean D_dxy_quantile0.05 D_dxy_quantile0.25 D_dxy_quantile0.50 D_dxy_quantile0.75 D_dxy_quantile0.95 HD_dxy_mean HD_dxy_quantile0.05 HD_dxy_quantile0.25 HD_dxy_quantile0.50 HD_dxy_quantile0.75 HD_dxy_quantile0.95
0 2.5e-07 0.01 0 0.001 868.521365 797.69925 838.02625 867.475 896.58 939.25625 875.043315 805.93425 842.6 873.11 905.2925 949.73425
0 2.5e-07 0.01 0 0.01 869.87272 797.894 839.94875 869.565 902.57125 940.31575 872.741875 797.02175 840.4425 871.495 904.7875 947.311
0 2.5e-07 0.01 0 0.1 870.780205 798.79325 839.06625 870.0475 900.30375 947.414 871.465335 800.03325 840.7975 869.2275 898.5225 946.3825
0 2.5e-07 0.01 0 0.5 868.978235 797.38825 838.72625 869.525 898.32 939.43975 872.808595 797.10275 841.9025 872.635 903.38 948.39225
0 2.5e-07 0.5 0 0.001 868.521365 797.69925 838.02625 867.475 896.58 939.25625 875.043315 805.93425 842.6 873.11 905.2925 949.73425
0 2.5e-07 0.5 0 0.01 869.87272 797.894 839.94875 869.565 902.57125 940.31575 872.741875 797.02175 840.4425 871.495 904.7875 947.311
0 2.5e-07 0.5 0 0.1 870.780205 798.79325 839.06625 870.0475 900.30375 947.414 871.465335 800.03325 840.7975 869.2275 898.5225 946.3825
0 2.5e-07 0.5 0 0.5 868.978235 797.38825 838.72625 869.525 898.32 939.43975 872.808595 797.10275 841.9025 872.635 903.38 948.39225
0 2.5e-07 0.01 0.0067 0.001 868.43227 797.69925 837.9875 866.935 896.67 939.4795 875.02975 805.242 843.81 873.0925 905.5525 949.3295
0 2.5e-07 0.01 0.0067 0.01 869.35646 797.062 839.7325 869.1875 901.24625 940.517 873.284245 798.4145 842.15875 872.135 905.05125 949.86
0 2.5e-07 0.01 0.0067 0.1 871.684625 795.16925 840.37875 871.385 901.355 949.86275 874.13634 802.23275 842.36875 872.975 904.765 950.15575
0 2.5e-07 0.01 0.0067 0.5 871.07641 798.8645 840.57875 870.175 899.0375 950.77125 873.410875 798.606 842.27125 873.7875 902.7 947.28125
0 2.5e-07 0.5 0.0067 0.001 868.469965 798.00625 838.2125 866.865 896.8625 938.42325 875.06159 806.31425 843.315 873.0125 905.2725 950.42075
0 2.5e-07 0.5 0.0067 0.01 869.549435 798.5325 841.7425 868.385 900.645 939.47275 872.76678 796.559 841.91375 871.06 905.54125 947.08975
0 2.5e-07 0.5 0.0067 0.1 872.1189 797.095 841.5775 871.9925 901.9775 948.84225 873.509135 799.02925 842.5 871.6975 903.1925 956.49225
0 2.5e-07 0.5 0.0067 0.5 870.809755 804.24475 841.05375 870.29 899.34125 945.111 874.83765 800.5595 843.07375 874.075 905.7 953.32275
0 2.5e-07 0.01 0.01333 0.001 868.539475 796.828 837.9875 867.475 896.67 939.4795 874.964395 806.77925 843.81 872.675 905.33625 949.73425
0 2.5e-07 0.01 0.01333 0.01 869.45133 795.353 839.23375 870.145 902.0675 939.454 872.30469 797.423 841.2725 870.7475 904.08 953.403
0 2.5e-07 0.01 0.01333 0.1 872.37605 792.91775 841.0625 872.03 904.07125 945.28875 873.691205 795.276 844.005 873.49 903.48875 953.8
0 2.5e-07 0.01 0.01333 0.5 872.099665 801.5075 841.24125 869.315 902.87125 947.156 874.951255 805.4855 844.16625 874.49 902.49875 950.72375
0 2.5e-07 0.5 0.01333 0.001 868.51758 796.8535 838.2125 866.935 896.71125 941.4685 875.175535 806.7535 844.13875 872.3425 905.22125 949.73425
0 2.5e-07 0.5 0.01333 0.01 869.929505 793.19975 841.08375 869.45 899.085 941.87925 873.133765 798.21925 844.37 871.305 904.18875 951.19825
