m r d s f D_dxy_mean D_dxy_quantile0.05 D_dxy_quantile0.25 D_dxy_quantile0.50 D_dxy_quantile0.75 D_dxy_quantile0.95 HD_dxy_mean HD_dxy_quantile0.05 HD_dxy_quantile0.25 HD_dxy_quantile0.50 HD_dxy_quantile0.75 HD_dxy_quantile0.95
0 2.5e-07 0.01 0 0.001 825.3075 785.29475 816.17375 835.09 844.22375 851.62475 867.19875 804.83975 811.7 872.6475 901.10875 937.62175
0 2.5e-07 0.01 0 0.01 864.476162790698 801.193 830.53 861.875 901.2275 934.766 865.652159090909 804.524 841.5975 853.4325 897.22 932.7905
0 2.5e-07 0.01 0 0.1 870.114177631579 799.71025 840.31625 867.05 902.18125 947.234 873.416816770186 801.51575 840.38875 875.0225 903.4275 949.87
0 2.5e-07 0.01 0 0.5 868.806570713392 797.083 838.9825 869.495 898.2675 939.4545 871.462354463131 796.047 841.005 870.6 902.37 948.497
0 2.5e-07 0.5 0 0.001 825.3075 785.29475 816.17375 835.09 844.22375 851.62475 867.19875 804.83975 811.7 872.6475 901.10875 937.62175
0 2.5e-07 0.5 0 0.01 864.476162790698 801.193 830.53 861.875 901.2275 934.766 865.652159090909 804.524 841.5975 853.4325 897.22 932.7905
0 2.5e-07 0.5 0 0.1 870.114177631579 799.71025 840.31625 867.05 902.18125 947.234 873.416816770186 801.51575 840.38875 875.0225 903.4275 949.87
0 2.5e-07 0.5 0 0.5 868.806570713392 797.083 838.9825 869.495 898.2675 939.4545 871.462354463131 796.047 841.005 870.6 902.37 948.497
0 2.5e-07 0.01 0.0067 0.001 816.443333333333 784.131 804.095 829.05 835.095 839.931 875.954333333333 803.101 848.22 884.565 903.0725 938.15
0 2.5e-07 0.01 0.0067 0.01 864.522391304348 790.88875 841.025 862.4675 896.56375 933.99 870.599285714286 795.62 836.2125 874.61 899.295 942.25
0 2.5e-07 0.01 0.0067 0.1 872.821852791878 797.79775 839.32 873.115 901.725 950.56125 876.354982668977 806.799 844.675 874.515 905.385 955.411
0 2.5e-07 0.01 0.0067 0.5 871.162724974722 798.859 840.63 870.095 899.075 950.895 873.385651302605 798.588 842.17375 873.7875 902.68875 947.30375
0 2.5e-07 0.5 0.0067 0.001 842.22125 780.46125 817.50625 838.1525 879.14375 899.531 881.884444444444 813.10875 844.9475 879.1175 910.90125 958.932
0 2.5e-07 0.5 0.0067 0.01 869.575631578947 804.2955 843.0575 869.095 894.265 938.4235 865.771022727273 788.2895 833.58 865.2725 895.70625 939.17025
0 2.5e-07 0.5 0.0067 0.1 871.569462121212 796.8315 842.17125 870.1375 901.9775 950.1335 874.543780160858 798.515 842.5 872.775 904.2875 957.39625
