m r d s f D_dxy_mean D_dxy_quantile0.05 D_dxy_quantile0.25 D_dxy_quantile0.50 D_dxy_quantile0.75 D_dxy_quantile0.95 HD_dxy_mean HD_dxy_quantile0.05 HD_dxy_quantile0.25 HD_dxy_quantile0.50 HD_dxy_quantile0.75 HD_dxy_quantile0.95
0 2.5e-07 0.01 0 0.001 871.592875 812.246 844.5325 870.5375 898.11 936.826 779.037715 712.594 750.1525 780.065 806.74875 850.9
0 2.5e-07 0.01 0 0.01 870.87693 807.749 844.79375 870.5 895.96625 932.44925 779.58677 707.839 751.6425 777.41 806.43625 853.37675
0 2.5e-07 0.01 0 0.1 870.397295 807.97525 843.16125 870.185 896.82875 937.4045 779.007035 714.30525 752.1625 777.82 805.6125 846.0635
0 2.5e-07 0.01 0 0.5 873.573365 807.74425 846.9225 872.85 899.7575 937.9785 779.650985 713.7285 751.05625 779.7125 807.22 848.6865
0 2.5e-07 0.5 0 0.001 871.592875 812.246 844.5325 870.5375 898.11 936.826 779.037715 712.594 750.1525 780.065 806.74875 850.9
0 2.5e-07 0.5 0 0.01 870.87693 807.749 844.79375 870.5 895.96625 932.44925 779.58677 707.839 751.6425 777.41 806.43625 853.37675
0 2.5e-07 0.5 0 0.1 870.397295 807.97525 843.16125 870.185 896.82875 937.4045 779.007035 714.30525 752.1625 777.82 805.6125 846.0635
0 2.5e-07 0.5 0 0.5 873.573365 807.74425 846.9225 872.85 899.7575 937.9785 779.650985 713.7285 751.05625 779.7125 807.22 848.6865
0 2.5e-07 0.01 0.0067 0.001 871.596105 811.515 844.55 870.4525 898.235 936.58525 779.0896 712.69475 750.00125 780.05 806.555 851.55325
0 2.5e-07 0.01 0.0067 0.01 871.022975 807.945 844.59875 870.485 896.60375 933.68425 779.42282 707.99425 751.43 775.99 806.32125 852.619
0 2.5e-07 0.01 0.0067 0.1 871.549385 805.778 844.8375 869.5975 898.3 937.37375 778.609575 710.22625 751.56875 778.0375 805.41875 849.35475
0 2.5e-07 0.01 0.0067 0.5 872.12892 810.857 847.62875 872.5825 895.99875 932.16425 780.663705 715.03275 753.4925 780.0325 806.84625 848.8115
0 2.5e-07 0.5 0.0067 0.001 871.45126 811.032 844.67875 870.5775 897.8725 936.6015 779.15584 713.22725 750.35625 779.745 806.595 850.9
0 2.5e-07 0.5 0.0067 0.01 870.554415 804.99075 845.2 869.53 895.89125 933.41325 779.039535 710.60925 751.5625 775.945 806.2 850.19625
0 2.5e-07 0.5 0.0067 0.1 871.93074 810.3255 846.46375 871.68 897.51125 934.41425 781.415975 714.70375 752.90875 778.66 810.025 854.45325
0 2.5e-07 0.5 0.0067 0.5 872.34225 809.9735 845.76 869.7675 898.64875 939.70525 780.92766 716.6875 753.14625 778.855 808.94375 847.0395
0 2.5e-07 0.01 0.01333 0.001 871.608295 812.048 844.55 870.5075 897.925 936.58525 779.254585 712.69475 750.00125 779.9225 806.74875 850.9
0 2.5e-07 0.01 0.01333 0.01 871.199985 808.751 845.3275 870.4 896.54125 933.63575 779.68961 710.08 751.46875 777.1525 806.9475 850.14575
0 2.5e-07 0.01 0.01333 0.1 872.42611 806.76825 846.8125 871.13 897.99375 940.8275 778.9059 713.21125 750.80625 778.4175 804.7525 849.77525
