m r d s f D_dxy_mean D_dxy_quantile0.05 D_dxy_quantile0.25 D_dxy_quantile0.50 D_dxy_quantile0.75 D_dxy_quantile0.95 HD_dxy_mean HD_dxy_quantile0.05 HD_dxy_quantile0.25 HD_dxy_quantile0.50 HD_dxy_quantile0.75 HD_dxy_quantile0.95
0 2.5e-07 0.01 0 0.001 873.9515 828.8335 844.70375 881.745 902.64125 914.96025 723.4525 717.86125 720.34625 723.4525 726.55875 729.04375
0 2.5e-07 0.01 0 0.01 875.863043478261 803.04375 850.4025 871.7 902.84375 951.17125 780.14925 729.19375 753.4225 766.7225 807.38375 847.11675
0 2.5e-07 0.01 0 0.1 874.364796610169 813.862 845.705 873.83 901.08 935.1675 776.756226415094 713.822 750.29 777.34 800.305 837.84
0 2.5e-07 0.01 0 0.5 874.090125470514 808.663 847.28 872.93 899.61 939.544 779.56668767507 713.6295 750.63 780.1 806.56375 845.34525
0 2.5e-07 0.5 0 0.001 873.9515 828.8335 844.70375 881.745 902.64125 914.96025 723.4525 717.86125 720.34625 723.4525 726.55875 729.04375
0 2.5e-07 0.5 0 0.01 875.863043478261 803.04375 850.4025 871.7 902.84375 951.17125 780.14925 729.19375 753.4225 766.7225 807.38375 847.11675
0 2.5e-07 0.5 0 0.1 874.364796610169 813.862 845.705 873.83 901.08 935.1675 776.756226415094 713.822 750.29 777.34 800.305 837.84
0 2.5e-07 0.5 0 0.5 874.090125470514 808.663 847.28 872.93 899.61 939.544 779.56668767507 713.6295 750.63 780.1 806.56375 845.34525
0 2.5e-07 0.01 0.0067 0.001 875.5685 830.62475 846.38125 882.5075 902.64125 916.34675 767.0025 741.96225 753.09125 767.0025 780.91375 792.04275
0 2.5e-07 0.01 0.0067 0.01 874.594468085106 815.534 851.0575 866.9 898.35 950.6755 778.045234375 720.953 738.83125 768.36 810.73625 869.63575
0 2.5e-07 0.01 0.0067 0.1 872.573679012346 804.24 843.36 868.695 904.4 941.454 777.431956521739 708.368 751.7825 777.22 804.56 845.9215
0 2.5e-07 0.01 0.0067 0.5 872.140984771574 810.662 847.43 872.595 896.01 932.228 780.569730142566 715.10675 753.2075 780 806.75375 848.8
0 2.5e-07 0.5 0.0067 0.001 872.330909090909 826.8975 843.3625 879.5 897.2225 918.3425 791.36 772.376 776.5 781.655 801.3675 817.1375
0 2.5e-07 0.5 0.0067 0.01 872.203798076923 819.5575 844.24125 865.5275 897.7925 940.8325 776.88 718.1175 748.09 769.6375 798.09 855.06375
