m r d s f D_pi1_mean D_pi1_quantile0.05 D_pi1_quantile0.25 D_pi1_quantile0.50 D_pi1_quantile0.75 D_pi1_quantile0.95 HD_pi1_mean HD_pi1_quantile0.05 HD_pi1_quantile0.25 HD_pi1_quantile0.50 HD_pi1_quantile0.75 HD_pi1_quantile0.95
0 2.5e-07 0.01 0 0.001 373.719289473684 328.717368421053 355.471052631579 373.263157894737 393.231578947368 416.067368421053 280.9661 236.248421052631 261.730263157895 281.018421052632 300.58552631579 325.300263157895
0 2.5e-07 0.01 0 0.01 374.213436842105 331.728157894737 356.294736842105 374.531578947369 391.025 418.522631578947 282.477526315789 239.586052631579 264.501315789474 281.931578947369 300.096052631579 329.131578947368
0 2.5e-07 0.01 0 0.1 374.061726315789 327.166315789474 355.982894736842 373.781578947369 393.221052631579 421.242368421053 281.585389473684 235.397105263157 261.781578947368 280.902631578948 300.671052631579 332.167631578947
0 2.5e-07 0.01 0 0.5 374.623021052632 331.279473684211 356.382894736842 374.165789473684 392.938157894737 419.705789473684 282.224878947368 237.215 263.226315789473 282.042105263158 300.901315789474 328.724736842105
0 2.5e-07 0.5 0 0.001 373.719289473684 328.717368421053 355.471052631579 373.263157894737 393.231578947368 416.067368421053 280.9661 236.248421052631 261.730263157895 281.018421052632 300.58552631579 325.300263157895
0 2.5e-07 0.5 0 0.01 374.213436842105 331.728157894737 356.294736842105 374.531578947369 391.025 418.522631578947 282.477526315789 239.586052631579 264.501315789474 281.931578947369 300.096052631579 329.131578947368
0 2.5e-07 0.5 0 0.1 374.061726315789 327.166315789474 355.982894736842 373.781578947369 393.221052631579 421.242368421053 281.585389473684 235.397105263157 261.781578947368 280.902631578948 300.671052631579 332.167631578947
0 2.5e-07 0.5 0 0.5 374.623021052632 331.279473684211 356.382894736842 374.165789473684 392.938157894737 419.705789473684 282.224878947368 237.215 263.226315789473 282.042105263158 300.901315789474 328.724736842105
0 2.5e-07 0.01 0.0067 0.001 373.710321052632 328.717368421053 355.471052631579 373.121052631578 393.231578947368 416.067368421053 280.948694736842 236.248421052631 261.889473684211 280.986842105263 300.58552631579 325.300263157895
0 2.5e-07 0.01 0.0067 0.01 373.563052631579 329.677631578947 355.922368421052 373.894736842105 390.211842105263 417.373947368421 282.339457894737 239.134210526316 264.397368421053 281.552631578948 300.896052631579 328.964210526315
0 2.5e-07 0.01 0.0067 0.1 372.5536 325.065789473684 353.328947368421 371.7 392.175 420.736315789474 279.970836842105 235.218684210526 259.480263157895 279.628947368421 297.894736842105 327.644736842105
0 2.5e-07 0.01 0.0067 0.5 373.017147368421 329.804736842105 354.005263157895 372.681578947368 392.861842105263 416.458684210526 280.832273684211 236.572368421053 261.396052631579 279.892105263158 299.056578947368 327.421578947369
0 2.5e-07 0.5 0.0067 0.001 373.635636842105 328.717368421053 355.438157894737 373.071052631578 393.26447368421 416.155 280.926889473684 236.248421052631 261.734210526316 281.018421052632 300.543421052632 325.300263157895
0 2.5e-07 0.5 0.0067 0.01 373.598378947368 329.56052631579 356.364473684211 373.960526315789 390.611842105263 417.981578947368 281.919705263158 237.967368421052 264.1 281.573684210526 298.751315789473 328.491052631579
0 2.5e-07 0.5 0.0067 0.1 372.168489473684 328.424736842105 353.264473684211 371.057894736842 390.321052631579 419.021315789474 279.746026315789 233.263157894737 260.919736842105 280.268421052632 298.722368421053 326.397894736842
0 2.5e-07 0.5 0.0067 0.5 373.564621052632 328.496578947368 355.365789473684 373.568421052631 391.627631578947 418.822894736842 281.474847368421 237.036578947368 262.482894736842 280.881578947368 300.125 324.901578947368
0 2.5e-07 0.01 0.01333 0.001 373.642215789474 328.717368421053 355.405263157895 373.052631578948 393.231578947368 416.067368421053 280.917226315789 235.765789473685 261.518421052631 281 300.581578947369 325.555263157894
0 2.5e-07 0.01 0.01333 0.01 373.637778947368 331.455263157894 356.261842105263 373.910526315789 390.289473684211 417.982631578947 282.304826315789 239.426052631579 264.431578947369 281.886842105263 299.960526315789 329.548684210526
0 2.5e-07 0.01 0.01333 0.1 372.160136842105 325.36052631579 353.982894736842 371.621052631579 391.978947368421 419.663421052631 278.572089473684 232.042631578947 258.207894736842 278.739473684211 296.730263157895 327.337105263157
0 2.5e-07 0.01 0.01333 0.5 372.986926315789 327.327105263157 354.339473684211 371.928947368421 391.746052631578 418.540263157894 281.564852631579 237.197368421053 261.072368421052 281.071052631579 299.768421052631 330.406315789474
