m r d s f D_pi2_mean D_pi2_quantile0.05 D_pi2_quantile0.25 D_pi2_quantile0.50 D_pi2_quantile0.75 D_pi2_quantile0.95 HD_pi2_mean HD_pi2_quantile0.05 HD_pi2_quantile0.25 HD_pi2_quantile0.50 HD_pi2_quantile0.75 HD_pi2_quantile0.95
0 2.5e-07 0.01 0 0.001 373.899968421053 324.524210526316 352.477631578947 372.392105263157 397.006578947368 426.108947368421 374.450331578947 320.896842105263 352.148684210527 374.828947368421 395.993421052632 430.249473684211
0 2.5e-07 0.01 0 0.01 375.213278947368 318.855 353.303947368421 374.805263157895 398.325 430.681052631579 374.104884210526 323.596315789473 350.992105263157 373.826315789474 395.253947368421 428.983157894737
0 2.5e-07 0.01 0 0.1 374.046089473684 322.536842105263 353.603947368421 372.805263157895 395.684210526316 426.953684210526 373.7574 318.705263157895 351.644736842105 374.242105263158 396.619736842105 429.400263157895
0 2.5e-07 0.01 0 0.5 374.025052631579 321.793684210526 351.351315789474 373.318421052631 396.026315789474 426.992105263158 375.0351 320.499736842105 351.284210526316 373.18947368421 400.006578947368 430.305526315789
0 2.5e-07 0.5 0 0.001 373.899968421053 324.524210526316 352.477631578947 372.392105263157 397.006578947368 426.108947368421 374.450331578947 320.896842105263 352.148684210527 374.828947368421 395.993421052632 430.249473684211
0 2.5e-07 0.5 0 0.01 375.213278947368 318.855 353.303947368421 374.805263157895 398.325 430.681052631579 374.104884210526 323.596315789473 350.992105263157 373.826315789474 395.253947368421 428.983157894737
0 2.5e-07 0.5 0 0.1 374.046089473684 322.536842105263 353.603947368421 372.805263157895 395.684210526316 426.953684210526 373.7574 318.705263157895 351.644736842105 374.242105263158 396.619736842105 429.400263157895
0 2.5e-07 0.5 0 0.5 374.025052631579 321.793684210526 351.351315789474 373.318421052631 396.026315789474 426.992105263158 375.0351 320.499736842105 351.284210526316 373.18947368421 400.006578947368 430.305526315789
0 2.5e-07 0.01 0.0067 0.001 373.746994736842 324.524210526316 352.310526315789 372.271052631579 396.651315789473 425.492631578948 374.436431578947 321.415263157894 352.355263157895 374.692105263157 395.977631578947 430.249473684211
0 2.5e-07 0.01 0.0067 0.01 375.251278947368 321.925263157895 352.528947368421 374.668421052632 398.41447368421 431.727368421053 373.991905263158 323.325 351.78947368421 373.621052631579 394.521052631579 428.100789473684
0 2.5e-07 0.01 0.0067 0.1 373.123557894737 320.98552631579 351.180263157895 372.536842105264 394.932894736842 424.671578947368 372.849910526316 318.090789473684 350.526315789474 372.328947368421 393.185526315789 427.522368421053
0 2.5e-07 0.01 0.0067 0.5 373.620368421053 321.225 351.582894736842 374.6 394.484210526316 425.857894736842 373.889478947368 319.739736842105 350.388157894737 375 397.105263157895 430.154736842105
0 2.5e-07 0.5 0.0067 0.001 373.8822 324.584210526316 352.053947368421 372.494736842106 397.098684210526 425.558947368421 374.444842105263 321.415263157894 352.294736842105 374.497368421052 397.223684210526 429.515789473684
0 2.5e-07 0.5 0.0067 0.01 374.934484210526 320.160526315789 352.196052631579 373.934210526315 398.468421052632 429.955263157894 374.290015789474 324.178684210526 351.78947368421 373.755263157895 394.721052631579 429.351315789474
0 2.5e-07 0.5 0.0067 0.1 374.028868421053 323.992368421053 353.868421052632 374.639473684211 394.513157894737 425.404210526315 372.298857894737 318.578947368421 350.293421052631 371.102631578947 393.907894736842 428.833157894737
0 2.5e-07 0.5 0.0067 0.5 371.992494736842 320.193421052632 349.327631578947 372.457894736842 392.751315789474 421.412631578947 372.976763157895 319.535526315789 348.371052631579 371.897368421052 396.430263157895 430.354210526316
0 2.5e-07 0.01 0.01333 0.001 373.781268421053 324.524210526316 352.046052631579 372.271052631579 396.651315789473 425.701315789473 374.543768421053 320.296842105263 352.523684210526 374.681578947369 395.993421052632 430.766842105263
0 2.5e-07 0.01 0.01333 0.01 375.370342105263 322.586578947369 352.8 375.026315789474 398.553947368421 431.727368421053 373.792463157895 322.896315789474 351.213157894737 373.134210526316 394.834210526315 429.124210526316
0 2.5e-07 0.01 0.01333 0.1 374.188736842105 321.15052631579 352.367105263158 373.789473684211 396.176315789474 426.698157894737 372.424373684211 319.742105263158 350.352631578947 371.710526315789 395.143421052632 427.535263157895
0 2.5e-07 0.01 0.01333 0.5 373.597457894737 322.771842105263 351.371052631579 373.865789473684 393.498684210526 426.256578947368 373.374857894737 318.673157894737 348.721052631579 372.384210526316 397.414473684211 432.225
0 2.5e-07 0.5 0.01333 0.001 373.8209 324.483157894737 352.617105263158 371.915789473684 397.111842105263 426.187368421053 374.388631578947 319.529736842105 352.148684210527 374.602631578947 396.492105263158 429.540789473684
0 2.5e-07 0.5 0.01333 0.01 374.996747368421 319.405789473684 352.847368421053 373.807894736842 397.640789473684 431.573157894737 373.879389473684 323.687894736842 351.440789473684 373.210526315789 395.098684210527 427.945263157895
0 2.5e-07 0.5 0.01333 0.1 374.430163157895 323.776842105264 352.281578947368 374.605263157895 396.556578947369 425.917631578947 372.783452631579 316.795 351.402631578947 373.176315789474 393.411842105263 431.719736842105
0 2.5e-07 0.5 0.01333 0.5 373.795778947368 323.437631578947 351.126315789473 373.257894736842 395.967105263158 426.091052631579 373.148263157895 320.528947368421 349.01052631579 372.684210526315 394.507894736842 429.742631578948
0 2.5e-07 0.01 0.02667 0.001 373.714863157895 324.431052631579 351.969736842105 372.18947368421 396.761842105263 424.529473684211 374.463536842105 320.061842105263 352.451315789473 374.528947368421 395.73552631579 430.312894736843
0 2.5e-07 0.01 0.02667 0.01 375.0905 320.644210526316 352.793421052632 375.228947368421 396.873684210527 432.25447368421 373.936215789474 321.199210526316 351.739473684211 373.626315789474 394.95 428.091315789474
