m r d s f D_pi2_mean D_pi2_quantile0.05 D_pi2_quantile0.25 D_pi2_quantile0.50 D_pi2_quantile0.75 D_pi2_quantile0.95 HD_pi2_mean HD_pi2_quantile0.05 HD_pi2_quantile0.25 HD_pi2_quantile0.50 HD_pi2_quantile0.75 HD_pi2_quantile0.95
0 2.5e-07 0.01 0 0.001 360.538157894737 323.497368421053 345.255263157895 369.336842105263 384.619736842105 385.260789473684 396.27850877193 341.927105263158 372.286842105263 385.234210526315 410.193421052632 477.101315789474
0 2.5e-07 0.01 0 0.01 370.171603427173 312.231052631579 354.48947368421 366.236842105263 391.107894736842 424.586842105264 369.978349282297 320.52 352.856578947368 368.176315789474 390.538157894737 417.897894736842
0 2.5e-07 0.01 0 0.1 374.861565096953 323.982631578947 355.498684210527 371.457894736842 395.877631578947 429.276842105263 373.623406341942 317.346842105263 350.401315789474 374.56052631579 398.076315789474 428.070263157895
0 2.5e-07 0.01 0 0.5 375.072979382122 320.631578947368 352.221052631579 374.563157894737 397.102631578947 429.796842105263 376.310288009805 322.373684210526 352.157894736842 375.115789473684 401.978947368421 431.567368421053
0 2.5e-07 0.5 0 0.001 360.538157894737 323.497368421053 345.255263157895 369.336842105263 384.619736842105 385.260789473684 396.27850877193 341.927105263158 372.286842105263 385.234210526315 410.193421052632 477.101315789474
0 2.5e-07 0.5 0 0.01 370.171603427173 312.231052631579 354.48947368421 366.236842105263 391.107894736842 424.586842105264 369.978349282297 320.52 352.856578947368 368.176315789474 390.538157894737 417.897894736842
0 2.5e-07 0.5 0 0.1 374.861565096953 323.982631578947 355.498684210527 371.457894736842 395.877631578947 429.276842105263 373.623406341942 317.346842105263 350.401315789474 374.56052631579 398.076315789474 428.070263157895
0 2.5e-07 0.5 0 0.5 375.072979382122 320.631578947368 352.221052631579 374.563157894737 397.102631578947 429.796842105263 376.310288009805 322.373684210526 352.157894736842 375.115789473684 401.978947368421 431.567368421053
0 2.5e-07 0.01 0.0067 0.001 358.2 319.93 345.123684210526 376.615789473684 380.484210526316 383.578947368421 390.234736842105 322.36 374.142105263158 382.778947368421 394.363157894737 476.172105263158
0 2.5e-07 0.01 0.0067 0.01 376.982723112128 318.819736842105 359.977631578947 379.636842105263 398.030263157895 421.75 374.534817813765 325.239473684211 351.813157894736 374.326315789474 391.923684210526 423.578947368421
0 2.5e-07 0.01 0.0067 0.1 374.463839166444 322.096052631579 353.298684210526 371.121052631579 394.947368421052 430.146315789474 372.095101705737 315.631578947368 348.978947368421 372 391.615789473684 428.154736842105
0 2.5e-07 0.01 0.0067 0.5 373.575605342983 321.094736842105 351.563157894737 374.584210526316 394.473684210526 425.915789473684 373.827644763211 319.692894736842 350.36447368421 374.934210526316 397.090789473685 430.158947368421
0 2.5e-07 0.5 0.0067 0.001 357.878289473684 322.399473684211 346.238157894737 359.342105263158 368.803947368421 392.546052631579 386.97514619883 322.093947368421 369.353947368421 382.068421052631 394.426315789474 476.088947368421
0 2.5e-07 0.5 0.0067 0.01 374.764376731302 316.675789473684 349.623684210526 373.594736842105 405.073684210526 426.761052631579 372.140988835726 319.819473684211 351.344736842105 372.7 392.482894736842 420.538947368421
0 2.5e-07 0.5 0.0067 0.1 374.31312599681 324.686842105263 353.41447368421 373.855263157895 395.111842105263 426.026578947369 371.802187103147 318.431578947369 351.177631578947 371.155263157895 392.684210526316 428.563157894737
0 2.5e-07 0.5 0.0067 0.5 371.827364163695 320.063157894737 349.18947368421 372.294736842105 392.468421052632 421.13052631579 372.958358358358 319.518421052631 348.368421052632 371.88947368421 396.444736842105 430.361052631579
0 2.5e-07 0.01 0.01333 0.001 361.736842105263 312.958421052631 347.613157894737 373.202631578947 387.326315789473 394.463157894737 385.461403508772 323.942105263158 367.805263157895 381.815789473684 392.157894736842 474.484210526316
0 2.5e-07 0.01 0.01333 0.01 373.770060396894 318.373684210526 344.842105263158 372.347368421053 402.226315789474 426.094736842105 372.933296783626 320.102894736842 353.153947368421 373.418421052632 392.747368421053 419.642894736842
0 2.5e-07 0.01 0.01333 0.1 375.820582897406 325.457894736842 357 373.663157894737 396.163157894737 429.184210526316 371.91072517566 318.183157894737 350.201315789473 370.731578947368 393.244736842105 430.62552631579
0 2.5e-07 0.01 0.01333 0.5 373.597457894737 322.771842105263 351.371052631579 373.865789473684 393.498684210526 426.256578947368 373.374857894737 318.673157894737 348.721052631579 372.384210526316 397.414473684211 432.225
0 2.5e-07 0.5 0.01333 0.001 368.656390977443 317.631578947368 357.993421052631 364.139473684211 390.501315789474 419.763421052632 382.544172932331 330.605 367.447368421053 379.631578947368 389.060526315789 459.373947368421
0 2.5e-07 0.5 0.01333 0.01 373.421659919028 315.039210526316 348.365789473684 372.081578947368 403.157894736842 432.770263157894 374.243550937429 325.795789473685 355.4 374.784210526316 394.289473684211 421.196842105263
0 2.5e-07 0.5 0.01333 0.1 374.222313341493 323.536578947368 351.760526315789 374.357894736842 396.556578947369 426.4 372.34089286726 316.230526315789 350.794736842105 371.242105263158 392.868421052632 432.677894736842
0 2.5e-07 0.5 0.01333 0.5 373.795778947368 323.437631578947 351.126315789473 373.257894736842 395.967105263158 426.091052631579 373.148263157895 320.528947368421 349.01052631579 372.684210526315 394.507894736842 429.742631578948
