m r d s f D_pi2_mean D_pi2_quantile0.05 D_pi2_quantile0.25 D_pi2_quantile0.50 D_pi2_quantile0.75 D_pi2_quantile0.95 HD_pi2_mean HD_pi2_quantile0.05 HD_pi2_quantile0.25 HD_pi2_quantile0.50 HD_pi2_quantile0.75 HD_pi2_quantile0.95
0 2.5e-07 0.01 0 0.001 387.721052631579 333.879473684211 371.213157894737 391.665789473685 411.268421052632 428.332894736842 262.578947368421 256.833157894737 259.386842105263 262.578947368421 265.771052631579 268.324736842105
0 2.5e-07 0.01 0 0.01 370.112471395881 329.546052631579 352.369736842105 374.942105263157 386.018421052631 403.015789473684 281.443289473684 243.72052631579 258.517105263158 279.007894736842 297.43947368421 323.811578947368
0 2.5e-07 0.01 0 0.1 375.658447814451 329.984736842106 355.592105263158 374.836842105263 395.347368421053 422.282631578947 282.260635551142 237.1 259.868421052632 284.236842105263 301.068421052632 328.477894736842
0 2.5e-07 0.01 0 0.5 374.93410156508 331.708421052631 356.815789473684 373.768421052632 392.968421052632 419.338947368421 281.583709273183 236.713421052632 263.302631578948 281.755263157895 300.711842105263 325.410789473684
0 2.5e-07 0.5 0 0.001 387.721052631579 333.879473684211 371.213157894737 391.665789473685 411.268421052632 428.332894736842 262.578947368421 256.833157894737 259.386842105263 262.578947368421 265.771052631579 268.324736842105
0 2.5e-07 0.5 0 0.01 370.112471395881 329.546052631579 352.369736842105 374.942105263157 386.018421052631 403.015789473684 281.443289473684 243.72052631579 258.517105263158 279.007894736842 297.43947368421 323.811578947368
0 2.5e-07 0.5 0 0.1 375.658447814451 329.984736842106 355.592105263158 374.836842105263 395.347368421053 422.282631578947 282.260635551142 237.1 259.868421052632 284.236842105263 301.068421052632 328.477894736842
0 2.5e-07 0.5 0 0.5 374.93410156508 331.708421052631 356.815789473684 373.768421052632 392.968421052632 419.338947368421 281.583709273183 236.713421052632 263.302631578948 281.755263157895 300.711842105263 325.410789473684
0 2.5e-07 0.01 0.0067 0.001 385.593157894737 331.264210526316 374.864473684211 394.268421052632 407.563157894737 414.097368421052 272.136842105263 268.295263157895 270.002631578948 272.136842105263 274.271052631579 275.978421052632
0 2.5e-07 0.01 0.0067 0.01 368.475363941769 327.954210526316 348.084210526315 370.3 387.581578947368 409.567368421053 279.524671052632 236.61 260.623684210526 278.431578947369 296.484210526316 322.937105263158
