SpecimenID	Pop
CRL317.variant	Off_N
CRL318.variant	Off_N
CRL319.variant	Off_N
CRL320.variant	Off_N
CRL321.variant	Off_N
CRL322.variant	Off_N
CRL324.variant	Off_N
CRL325.variant	Off_N
CRL326.variant	Off_N
CRL327.variant	Off_N
CRL328.variant	Off_N
CRL329.variant	Off_N
CRL330.variant	Off_N
CRL331.variant	Off_N
CRL332.variant	Off_N
CRL333.variant	Off_N
CRL334.variant	Off_N
CRL335.variant	Off_N
CRL336.variant	Off_N
CRL337.variant	Off_N
CRL338.variant	Off_N
CRL339.variant	Off_N
CRL340.variant	Off_N
CRL341.variant	Off_N
CRL342.variant	Off_N
CRL343.variant	Off_N
CRL344.variant	Off_N
CRL345.variant	Off_N
CRL346.variant	Off_N
CRL347.variant	Off_N
CRL366.variant2	On
CRL367.variant2	On
CRL368.variant2	On
CRL369.variant2	On
CRL370.variant2	On
CRL371.variant2	On
CRL372.variant2	On
CRL373.variant2	On
CRL374.variant2	On
CRL375.variant2	On
CRL376.variant	On
CRL377.variant	On
CRL378.variant	On
CRL379.variant	On
CRL380.variant	On
CRL381.variant	On
CRL382.variant	On
CRL383.variant	On
CRL384.variant	On
CRL385.variant	On
CRL386.variant	On
CRL387.variant	On
CRL388.variant	On
CRL389.variant	On
CRL461.variant	Off_S
CRL462.variant	Off_S
CRL463.variant	Off_S
CRL464.variant	Off_S
CRL465.variant	Off_S
CRL467.variant	Off_S
CRL468.variant	Off_S
CRL469.variant	Off_S
CRL470.variant	Off_S
CRL471.variant	Off_S
CRL472.variant	Off_S
CRL473.variant	Off_S
CRL474.variant	Off_S
CRL475.variant	Off_S
CRL476.variant	Off_S
CRL477.variant	Off_S
CRL478.variant	Off_S
CRL479.variant	Off_S
CRL480.variant	Off_S
CRL481.variant	Off_S
CRL482.variant	Off_S
CRL483.variant	Off_S
CRL484.variant	Off_S
CRL485.variant	Off_S
